title_id,title_name,genre,region,licensing_cost,viewing_hours,ad_revenue,churn_risk_score,strategic_score
NFLX-001,Stranger Things S5,Sci-Fi,UCAN,45000000,12500000,62000000,10,10
NFLX-002,Squid Game S2,Drama,APAC,35000000,14200000,58000000,10,10
NFLX-003,Wednesday S2,Comedy,UCAN,28000000,9800000,39000000,9,9
NFLX-004,The Crown S6,Drama,EMEA,22000000,6500000,27000000,8,10
NFLX-005,Bridgerton S3,Romance,EMEA,25000000,8900000,34000000,9,8
NFLX-006,Cobra Kai S6,Action,UCAN,15000000,5400000,19000000,7,7
NFLX-007,Emily in Paris S4,Comedy,EMEA,14000000,4800000,18000000,8,6
NFLX-008,Black Mirror S7,Sci-Fi,EMEA,18000000,4200000,21000000,8,9
NFLX-009,The Witcher S4,Fantasy,UCAN,30000000,7100000,36000000,7,8
NFLX-010,Lupin S3,Crime,EMEA,12000000,4900000,16000000,8,7
NFLX-011,Love is Blind S6,Unscripted,UCAN,6000000,3800000,9500000,6,5
NFLX-012,Drive to Survive S6,Docuseries,EMEA,8000000,3200000,11000000,9,8
NFLX-013,Tokyo Heist Thriller,Crime,APAC,5000000,2100000,6800000,7,6
NFLX-014,Spanish Mystery Limited,Drama,EMEA,4500000,1900000,5900000,6,6
NFLX-015,Seoul Reality Dating,Unscripted,APAC,3000000,2800000,4800000,7,5
NFLX-016,Standup Special London,Comedy,EMEA,2500000,1100000,3200000,4,4
NFLX-017,Baking Championship,Unscripted,UCAN,2000000,950000,2600000,5,4
NFLX-018,Anime Legend Revival,Action,APAC,7500000,3400000,9800000,8,7
NFLX-019,Deep Sea Doc 4K,Documentary,LATAM,1800000,720000,2100000,4,6
NFLX-020,Indie Drama Pilot,Drama,LATAM,1200000,410000,1400000,3,5
